1_num	2_andr_10KHz_time_nanosec	3_andr_100KHz_time_nanosec	4_andr_1000KHz_time_nanosec	5_disc_10KHz_time_nanosec	6_disc_100KHz_time_nanosec	7_disc_1000KHz_time_nanosec	8_ram_10KHz_time_nanosec	9_two_10KHz_time_nanosec	10_two_100KHz_time_nanosec	11_two_1000KHz_time_nanosec
0	inf	2459904	inf	5539840	4860160	2390016	6599936	10729984	3140096	2850048
1	inf	4930048	inf	5480192	5440000	5430016	7980032	14650112	5960192	3939840
2	inf	9049856	inf	5580032	6500096	7879936	7820032	14739968	6469888	6109952
3	inf	11699968	inf	5200128	7420160	7620096	10860032	14800128	6599936	6109952
4	inf	20019968	inf	4989952	7280128	7789824	11760128	14830080	6710016	5829888
5	inf	32620032	inf	4750080	6989824	7500032	13870080	14899968	6899968	5530112
6	inf	32119808	inf	5970176	8310016	6959872	14569984	14940160	7230208	5530112
7	inf	31709952	inf	6070016	10360064	6840064	14259968	14990080	7549952	5459968
8	inf	36009984	inf	6249984	10060032	6720000	14149888	15049984	7600128	5139968
9	inf	36090112	inf	6180096	9720064	8089856	13840128	15100160	7439872	5449984
10	inf	35820032	inf	6500096	9379840	8259840	18560000	15150080	7660032	5189888
11	inf	35479808	inf	6820096	10629888	7950080	18260224	15200000	7640064	5110016
12	inf	35259904	inf	7320064	10320128	7660032	24760064	15330048	7869952	5010176
13	inf	34980096	inf	7759872	9649920	9220096	28870144	15480064	7880192	5400064
14	inf	34469888	inf	7010048	9350144	10639872	28670208	15470080	8249856	5680128
15	inf	34169856	inf	5550080	8839936	10140160	29159936	15560192	8400128	7240192
16	inf	33890048	inf	5229824	8800000	10529792	35490048	15590144	9809920	7509760
17	inf	33850112	inf	5339904	8460032	10240000	35650048	15600128	11389952	8179968
18	inf	33569792	inf	4780032	7929856	9939968	35859968	15709952	12899840	10749952
19	inf	33280000	inf	4150016	7630080	11890176	37939968	15740160	13609984	10589952
20	inf	32989952	inf	3389952	8940032	11699968	38000128	15760128	14609920	12160000
21	inf	32969984	inf	2899968	9309952	12370176	39689984	15900160	19840000	12300032
22	inf	32649984	inf	1070080	9500160	10350080	39379968	15930112	20839936	13240064
23	inf	32359936	inf	1609984	12070144	12259840	38690048	16009984	22320128	13450240
24	inf	32079872	inf	1839872	12710144	13430016	38359808	16019968	25639936	13609984
25	inf	31790080	inf	1769984	12269824	13139968	38040064	16100096	28040192	13860096
26	inf	32229888	inf	1870080	11940096	12069888	37730048	16130048	29110016	14050048
27	inf	35640064	inf	1760000	16229888	11750144	37849856	16210176	30550016	14210048
28	inf	40180224	inf	1679872	15859968	11460096	37839872	15529984	32640000	14419968
29	inf	42179840	inf	1980160	18519808	11160064	37520128	16780032	33390080	16090112
30	inf	42949888	inf	2439936	21479936	10840064	37210112	16649984	33619968	16440064
31	inf	42620160	inf	2390016	21149952	10269952	42170112	16499968	33880064	16700160
32	inf	43809792	inf	2469888	20780032	10950144	43309824	16480000	34140160	18319872
33	inf	46919936	inf	2169856	20480000	10660096	44940032	16399872	35029760	19739904
34	inf	48100096	inf	2289920	19470080	10440192	44630016	16430080	34900224	20470016
