1_num	2_disc_10KHz_latency_ns	3_disc_100KHz_latency_ns	4_disc_1000KHz_latency_ns	5_two1_10KHz_latency_ns	6_two1_100KHz_latency_ns	7_two1_1000KHz_latency_ns	8_two2_10KHz_latency_ns	9_two2_100KHz_latency_ns	10_two2_1000KHz_latency_ns	11_two3_10KHz_latency_ns	12_two3_100KHz_latency_ns	13_two3_1000KHz_latency_ns
0	5539840	4860160	2390016	10729984	3140096	2850048	4349952	5939968	5580032	2080000	13309952	5740032
1	5480192	5440000	5430016	14650112	5960192	3939840	4509952	7710208	10599936	3040000	13040128	5489920
2	5580032	6500096	7879936	14739968	6469888	6109952	6419968	8039936	11020032	4659968	14190080	6089984
3	5200128	7420160	7620096	14800128	6599936	6109952	7030016	9049856	11089920	5689856	16640000	6980096
4	4989952	7280128	7789824	14830080	6710016	5829888	7369984	9329920	13820160	5550080	16719872	8649984
5	4750080	6989824	7500032	14899968	6899968	5530112	12400128	11190016	16549888	9489920	16859904	9309952
6	5970176	8310016	6959872	14940160	7230208	5530112	12700160	11470080	21440000	9650176	18249984	9489920
7	6070016	10360064	6840064	14990080	7549952	5459968	13730048	11659776	24359936	9280000	19399936	9590016
8	6249984	10060032	6720000	15049984	7600128	5139968	17129984	11939840	25410048	8859904	23049984	10249984
9	6180096	9720064	8089856	15100160	7439872	5449984	19209984	12179968	25709824	8480000	24610048	10500096
10	6500096	9379840	8259840	15150080	7660032	5189888	20129792	13600000	27170048	8100096	25370112	11119872
11	6820096	10629888	7950080	15200000	7640064	5110016	20209920	13860096	33330176	7709952	25779968	11350016
12	7320064	10320128	7660032	15330048	7869952	5010176	20480000	14030080	33579776	7320064	26360064	11539968
13	7759872	9649920	9220096	15480064	7880192	5400064	20630016	14220032	33740032	6899968	26599936	11689984
14	7010048	9350144	10639872	15470080	8249856	5680128	20689920	15350016	34670080	6519808	26830080	13149952
15	5550080	8839936	10140160	15560192	8400128	7240192	20399872	15680000	34710016	6140160	27290112	14599936
16	5229824	8800000	10529792	15590144	9809920	7509760	20100096	17159936	34689792	5730048	27409920	18119936
17	5339904	8460032	10240000	15600128	11389952	8179968	19470080	18960128	34759936	8130048	27449856	19800064
18	4780032	7929856	9939968	15709952	12899840	10749952	18869760	20749824	34779904	11569920	27150080	21260032
19	4150016	7630080	11890176	15740160	13609984	10589952	18530048	22259968	34810112	13049856	26860032	22710016
20	3389952	8940032	11699968	15760128	14609920	12160000	19369984	22550016	34840064	13670144	26560000	23300096
