num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
0	2510080	3159808	inf	2989824	4679936	5479936	3149824	3469824	6060032
1	2349824	3600128	inf	5350144	8800000	6030080	3310080	6310144	8430080
2	3350016	4690176	inf	4899840	8520192	6389760	2959872	9040128	8150016
3	4440064	5600000	inf	5720064	8179968	6509824	4699904	8709888	7809792
4	4169984	5929984	inf	5899776	7879936	7640064	4499968	8380160	7470080
5	5489920	5880064	inf	7959808	8689920	9270016	5280000	11209984	7180032
6	4849920	5510144	inf	8129792	8359936	9760000	7469824	10919936	6849792
7	5840128	4669952	inf	11089920	8060160	9920000	8809984	12600064	6510080
8	5649920	4079872	inf	11330048	7759872	10299904	9560064	17760000	7539968
9	6150144	6579968	inf	11020032	10550016	10769920	14080000	17309952	8899840
10	5799936	6680064	inf	10720000	10190080	11040000	15060224	16930048	8620032
11	7950080	6000128	inf	12080128	11190016	10810112	14779904	16600064	9629952
12	8090112	5609984	inf	11759872	15269888	10510080	14439936	16300032	11870208
13	9289984	4809984	inf	11190016	14909952	10820096	16789760	17200128	12610048
14	9619968	3320064	inf	12230144	14609920	10459904	17750016	18109952	12910080
15	9949952	3000064	inf	14589952	14200064	10550016	18670080	19810048	14349824
16	9609984	3660032	inf	14259968	13850112	9410048	20049920	22210048	13810176
17	10220032	4390144	inf	14470144	13539840	8800000	20489984	22720000	14390016
18	11300096	4960000	inf	15160064	15340032	8480000	21020160	22390016	15270144
19	11920128	5540096	inf	16329984	15959808	7759872	21619968	22089984	17270016
20	11650048	5270016	inf	16220160	16169984	7930112	22329856	21800192	17829888
21	11810048	4809984	inf	17100032	16880128	7640064	23030016	22119936	20100096
22	11180032	4720128	inf	19380224	17350144	7349760	23700224	21779968	21219840
23	11119872	4259840	inf	20800000	17499904	6599936	26560000	22429952	23730176
24	10419968	4380160	inf	23650048	19270144	5859840	27929856	24780032	23949824
25	11110144	3680000	inf	26749952	19379968	4720128	28900096	25230080	23340032
26	11699968	3329792	inf	27250176	19039744	3970048	28589824	26180096	23040000
27	13019904	3269888	inf	30089984	19299840	2889984	28410112	27109888	23790080
28	12760064	2989824	inf	29720064	19020032	5499904	28130048	27439872	23509760
